trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
137,False,"{'a': 0.2, 'e': 0.3149999999999994}",20,16,7.748814520912569,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.2, 'e': 0.3099999999999994}",25,7,-46.913273383884736,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
139,False,"{'a': 0.2, 'e': 0.3049999999999994}",25,0,-14.238686960383713,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
140,False,"{'a': 0.2, 'e': 0.2999999999999994}",25,13,-49.011215526644065,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
141,False,"{'a': 0.2, 'e': 0.2949999999999994}",20,0,-59.54718015918174,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
142,False,"{'a': 0.2, 'e': 0.28999999999999937}",20,2,6.053993331959843,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.2, 'e': 0.28499999999999936}",25,14,-3.6087030732489405,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
144,False,"{'a': 0.2, 'e': 0.27999999999999936}",20,10,5.299195048481792,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.2, 'e': 0.27499999999999936}",25,0,-68.63031022690336,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",0
146,False,"{'a': 0.2, 'e': 0.26999999999999935}",20,0,-33.374863428542405,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
147,False,"{'a': 0.2, 'e': 0.26499999999999935}",20,10,13.662288342903334,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.2, 'e': 0.25999999999999934}",30,5,-1.6938699724959747,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",1
149,False,"{'a': 0.2, 'e': 0.25499999999999934}",25,0,17.875168873478792,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
150,False,"{'a': 0.2, 'e': 0.24999999999999933}",20,16,9.239450490315289,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
